Country,gdp_percap,immunization,hdi,gdi
Afghanistan,493.7504181,65.0,0.509,0.6629999999999999
Albania,5284.380184000001,96.5,0.792,0.971
Algeria,4153.733978,85.5,0.746,0.86
Andorra,41793.05526,99.0,0.867,
Angola,3289.646664,56.5,0.5820000000000001,0.903
Antigua and Barbuda,16672.74424,95.5,0.772,
Argentina,11633.49801,90.0,0.8420000000000001,0.992
Armenia,4220.490277,93.5,0.7709999999999999,0.978
Australia,57354.96405,95.0,0.943,0.976
Austria,51478.285260000004,89.5,0.9209999999999999,0.966
Azerbaijan,4739.841710000001,95.5,0.754,0.9390000000000001
Bahrain,23991.05668,99.0,0.852,0.9359999999999999
Bangladesh,1698.350394,97.5,0.625,0.8959999999999999
Barbados,17745.19346,90.0,0.81,1.008
Belarus,6330.075246,97.5,0.823,1.0090000000000001
Belgium,47583.07494,97.0,0.93,0.973
Belize,4884.734162,96.5,0.7140000000000001,0.977
Benin,1240.8294640000001,73.5,0.541,0.855
Bhutan,3243.486036,97.0,0.649,0.91
Bosnia and Herzegovina,6072.184623,70.5,0.777,0.932
Botswana,8279.601739,96.0,0.73,0.995
Brazil,9001.234249,89.5,0.762,0.995
Brunei Darussalam,31628.328789999996,99.0,0.836,0.978
Bulgaria,9427.73043,92.5,0.813,0.9940000000000001
Burkina Faso,813.096849,89.5,0.44299999999999995,0.865
Burundi,271.7520444,89.0,0.431,0.996
Cabo Verde,3617.3274890000002,98.5,0.6629999999999999,0.972
Cambodia,1512.12671,88.0,0.585,0.92
Cameroon,1534.493702,63.0,0.56,0.87
Canada,46303.90878,90.5,0.9279999999999999,0.99
Central African Republic,475.95360989999995,48.0,0.395,0.8
Chad,726.1498811,44.0,0.397,0.773
Chile,15924.794240000001,94.0,0.8490000000000001,0.9640000000000001
China,9976.677137,99.0,0.755,0.9590000000000001
Colombia,6716.911598000001,93.5,0.764,0.99
Comoros,1415.9553130000002,90.5,0.552,0.89
Costa Rica,12112.13442,94.0,0.8079999999999999,0.981
Croatia,15014.085019999999,93.0,0.848,0.99
Cuba,8821.818890999999,99.0,0.7809999999999999,0.953
Cyprus,28689.70672,94.5,0.885,0.983
Denmark,61598.5367,96.0,0.9390000000000001,0.981
Djibouti,3141.889219,85.0,0.518,
Dominica,7693.8788700000005,89.0,0.738,
Dominican Republic,8050.630440000001,94.5,0.7509999999999999,0.9990000000000001
Ecuador,6295.935399,84.0,0.762,0.9790000000000001
El Salvador,4067.659449,81.0,0.67,0.9740000000000001
Equatorial Guinea,10144.19581,53.0,0.5820000000000001,
Eritrea,,97.0,0.456,
Estonia,23170.70738,89.5,0.889,1.016
Ethiopia,771.5238138999999,61.5,0.478,0.846
Fiji,6317.4878530000005,97.5,0.742,
Finland,50030.87731,93.5,0.937,0.99
France,41631.09074,93.0,0.898,0.987
Gabon,7956.627815999999,64.5,0.6970000000000001,0.9159999999999999
Georgia,4722.787783,95.5,0.805,0.9790000000000001
Germany,47810.50767,95.0,0.946,0.968
Ghana,2202.312164,94.5,0.606,0.909
Greece,20324.30499,98.0,0.8809999999999999,0.9640000000000001
Grenada,10485.907159999999,89.5,0.773,
Guatemala,4472.892371,86.5,0.657,0.941
Guinea,878.5996133,47.0,0.473,0.816
Guinea-Bissau,778.3499102000001,87.0,0.47200000000000003,
Guyana,6145.842411,96.5,0.68,0.9670000000000001
Haiti,1435.351756,66.5,0.508,0.875
Honduras,2505.7767519999998,89.5,0.633,0.978
Hungary,16410.18726,99.0,0.85,0.98
Iceland,72968.70422999999,92.0,0.946,0.9690000000000001
India,2005.8630050000002,91.5,0.642,0.818
Indonesia,3893.846425,87.0,0.7120000000000001,0.938
Iraq,5834.166211,83.5,0.6709999999999999,0.7709999999999999
Ireland,78621.22793,93.0,0.951,0.978
Israel,41719.725439999995,98.0,0.9159999999999999,0.973
Italy,34615.75689,94.0,0.89,0.9690000000000001
Jamaica,5354.236859000001,93.0,0.7340000000000001,0.988
Japan,39159.42356,97.5,0.917,0.977
Jordan,4312.180117,94.0,0.728,0.875
Kazakhstan,9812.626370999998,98.5,0.8190000000000001,0.997
Kenya,1707.986805,90.5,0.599,0.9259999999999999
Kiribati,1698.256286,89.5,0.628,
Kuwait,33994.38192,94.5,0.807,0.973
Latvia,17858.279980000003,97.0,0.863,1.035
Lebanon,8024.803271,82.5,0.747,0.892
Lesotho,1221.883763,88.5,0.522,1.0190000000000001
Liberia,677.3221785000001,87.5,0.48,0.895
Libya,7877.122251000001,73.0,0.721,0.9690000000000001
Liechtenstein,181402.83,,0.919,
Lithuania,19176.176519999997,92.0,0.8759999999999999,1.0290000000000001
Luxembourg,116654.2611,99.0,0.9129999999999999,0.975
Madagascar,527.5013261,68.5,0.527,0.9490000000000001
Malawi,381.2589876,89.5,0.478,0.9259999999999999
Malaysia,11377.455,97.5,0.805,0.97
Maldives,10276.93282,99.0,0.7340000000000001,0.9209999999999999
Mali,894.8021868999999,73.5,0.431,0.81
Malta,30437.221510000003,96.5,0.894,0.968
Marshall Islands,3788.1635939999996,82.0,0.7020000000000001,
Mauritania,1600.876469,79.5,0.542,0.86
Mauritius,11208.34382,98.0,0.8009999999999999,0.9740000000000001
Mexico,9686.513783,92.5,0.7759999999999999,0.9620000000000001
Mongolia,4134.987198,99.0,0.735,1.02
Montenegro,8846.056525,64.0,0.826,0.965
Morocco,3222.200634,99.0,0.68,0.833
Mozambique,503.3187272,87.5,0.452,0.9059999999999999
Myanmar,1418.177623,92.0,0.579,0.953
Namibia,5495.428925,85.5,0.645,1.0070000000000001
Nepal,1038.6516470000001,91.0,0.596,0.927
Netherlands,53044.532439999995,93.0,0.9420000000000001,0.9670000000000001
New Zealand,42427.58315,92.5,0.9279999999999999,0.965
Nicaragua,2020.55193,98.5,0.659,1.011
Niger,572.4271543,78.0,0.391,0.727
Nigeria,2027.777979,55.0,0.534,0.8740000000000001
North Macedonia,6088.972445,83.5,0.77,0.948
Norway,81734.46557,96.0,0.956,0.9890000000000001
Oman,16521.18228,99.0,0.813,0.937
Pakistan,1482.305667,74.0,0.552,0.736
Palau,15660.6746,92.5,0.8220000000000001,
Panama,15592.573680000001,93.0,0.812,1.0090000000000001
Papua New Guinea,2801.3739969999997,36.0,0.5489999999999999,
Paraguay,5805.6756159999995,90.5,0.727,0.9670000000000001
Peru,6941.235848,84.5,0.7709999999999999,0.9640000000000001
Philippines,3252.0923239999997,66.0,0.711,1.005
Poland,15468.482219999998,94.0,0.877,1.008
Portugal,23562.554519999998,99.0,0.86,0.985
Qatar,65908.0669,98.5,0.845,1.031
Romania,12399.88934,88.0,0.823,0.9890000000000001
Russian Federation,11370.81346,97.5,0.823,1.0090000000000001
Rwanda,783.2871842000001,98.0,0.54,0.943
Samoa,4188.528346,32.5,0.7090000000000001,
Sao Tome and Principe,1953.58829,95.0,0.624,0.905
Saudi Arabia,23338.96346,97.0,0.8540000000000001,0.875
Senegal,1465.591006,82.5,0.516,0.877
Serbia,7252.401858,94.0,0.8029999999999999,0.975
Seychelles,16390.82491,97.5,0.79,
Sierra Leone,533.9911843,90.0,0.447,0.8809999999999999
Singapore,66188.7794,95.5,0.9359999999999999,0.986
Slovenia,26115.91337,93.0,0.912,1.002
Solomon Islands,2441.517393,89.0,0.564,
South Africa,6372.605654999999,72.0,0.7070000000000001,0.983
South Sudan,,49.0,0.429,0.841
Spain,30389.360989999997,96.5,0.905,0.981
Sri Lanka,4080.567125,99.0,0.779,0.9390000000000001
Sudan,623.8672524,90.5,0.506,0.8540000000000001
Suriname,6015.164607,79.0,0.7340000000000001,0.973
Sweden,54589.06039,97.0,0.943,0.982
Switzerland,82818.10816,95.5,0.955,0.968
Syrian Arab Republic,,55.0,0.563,0.83
Tajikistan,826.6215305,97.0,0.6609999999999999,0.823
Thailand,7295.475616,96.5,0.772,0.997
Timor-Leste,1230.228191,80.0,0.599,0.946
Togo,679.9727606,76.0,0.51,0.8190000000000001
Tonga,4740.792149,99.0,0.723,0.9490000000000001
Trinidad and Tobago,17129.913090000002,94.5,0.795,1.002
Tunisia,3438.789089,89.5,0.738,0.899
Turkey,9455.593654,97.0,0.8170000000000001,0.9259999999999999
Turkmenistan,6966.635411,99.0,0.71,
Uganda,770.4524533,89.5,0.5379999999999999,0.862
Ukraine,3096.817402,80.0,0.774,1.0
United Arab Emirates,43839.35635,99.0,0.889,0.9259999999999999
United Kingdom,43043.22782,93.0,0.9279999999999999,0.968
United States,62996.471289999994,93.0,0.925,0.993
Uruguay,17277.97011,94.0,0.816,1.0170000000000001
Uzbekistan,1529.082864,97.0,0.7170000000000001,0.938
Vanuatu,3125.257989,80.0,0.603,
Zambia,1516.390661,92.0,0.5820000000000001,0.98
Zimbabwe,1683.740577,88.5,0.569,0.927
