Country,fertility_total,fertility_adolescent
Afghanistan,4.473,65.141
Albania,1.617,19.5724
Algeria,3.023,9.8338
Andorra,,
Angola,5.519,147.958
Antigua and Barbuda,1.994,41.831
Argentina,2.261,62.5654
Armenia,1.755,20.886
Australia,1.74,11.3258
Austria,1.47,7.0444
Azerbaijan,1.73,56.4976
Bahrain,1.9869999999999999,13.239
Bangladesh,2.036,82.3128
Barbados,1.619,31.1302
Belarus,1.4480000000000002,13.7516
Belgium,1.62,4.5704
Belize,2.307,68.04899999999999
Benin,4.836,84.0364
Bhutan,1.975,18.895
Bosnia and Herzegovina,1.265,9.149
Botswana,2.8739999999999997,45.358000000000004
Brazil,1.73,57.8858
Brunei Darussalam,1.848,9.7116
Bulgaria,1.56,39.3266
Burkina Faso,5.189,102.0658
Burundi,5.41,54.7516
Cabo Verde,2.274,72.6946
Cambodia,2.503,50.7204
Cameroon,4.572,103.4938
Canada,1.4988,8.0346
Central African Republic,4.721,126.9636
Chad,5.747000000000001,157.9144
Chile,1.649,40.1384
China,1.69,7.643
Colombia,1.807,65.482
Comoros,4.205,64.0606
Costa Rica,1.754,52.5186
Croatia,1.47,8.2652
Cuba,1.618,51.5156
Cyprus,1.329,4.4586
Denmark,1.73,4.169
Djibouti,2.728,18.4434
Dominica,,
Dominican Republic,2.346,93.0342
Ecuador,2.427,78.7626
El Salvador,2.039,68.6136
Equatorial Guinea,4.513,153.4524
Eritrea,4.056,50.7028
Estonia,1.67,7.0988
Ethiopia,4.247,65.0748
Fiji,2.7739999999999996,49.1406
Finland,1.41,5.6588
France,1.88,4.7362
Gabon,3.969,93.5644
Georgia,2.06,45.1848
Germany,1.57,7.8568
Ghana,3.87,65.7842
Greece,1.35,6.9376
Grenada,2.063,28.1938
Guatemala,2.87,69.756
Guinea,4.7,133.365
Guinea-Bissau,4.476,103.2252
Guyana,2.4619999999999997,72.8682
Haiti,2.935,50.9536
Honduras,2.46,71.8464
Hungary,1.55,24.2756
Iceland,1.71,5.9066
India,2.222,12.0708
Indonesia,2.311,46.9052
Iraq,3.6719999999999997,71.7416
Ireland,1.75,7.0566
Israel,3.09,9.192
Italy,1.29,5.11
Jamaica,1.979,51.3186
Japan,1.42,3.6644
Jordan,2.761,25.8414
Kazakhstan,2.84,29.364
Kenya,3.492,74.044
Kiribati,3.569,15.4046
Kuwait,2.082,7.8858
Latvia,1.6,15.8014
Lebanon,2.0869999999999997,14.2238
Lesotho,3.141,92.57799999999999
Liberia,4.315,135.5662
Libya,2.24,5.7148
Liechtenstein,1.58,
Lithuania,1.63,10.2026
Luxembourg,1.38,4.6038
Madagascar,4.077,107.7374
Malawi,4.209,132.0948
Malaysia,2.001,13.4668
Maldives,1.87,7.4138
Mali,5.877000000000001,166.8668
Malta,1.23,12.4966
Marshall Islands,,
Mauritania,4.561,69.628
Mauritius,1.41,25.2786
Mexico,2.129,59.4542
Mongolia,2.895,31.4384
Montenegro,1.745,8.781
Morocco,2.415,30.680999999999997
Mozambique,4.852,146.2508
Myanmar,2.154,28.2066
Namibia,3.3960000000000004,61.632
Nepal,1.9169999999999998,64.399
Netherlands,1.59,3.7028
New Zealand,1.71,18.6046
Nicaragua,2.404,83.3048
Niger,6.912999999999999,183.5134
Nigeria,5.3870000000000005,105.447
North Macedonia,1.496,15.162
Norway,1.56,5.1048
Oman,2.888,12.6964
Pakistan,3.51,38.2106
Palau,,
Panama,2.461,81.0386
Papua New Guinea,3.5639999999999996,51.982
Paraguay,2.4290000000000003,70.1824
Peru,2.254,55.9518
Philippines,2.576,54.7592
Poland,1.46,10.1692
Portugal,1.42,8.0012
Qatar,1.8659999999999999,9.5896
Romania,1.76,35.535
Russian Federation,1.579,19.6196
Rwanda,4.044,38.852
Samoa,3.877,23.2952
Sao Tome and Principe,4.321000000000001,93.3376
Saudi Arabia,2.319,7.097
Senegal,4.625,70.71600000000001
Serbia,1.49,14.1444
Seychelles,2.41,61.2244
Sierra Leone,4.263,110.2282
Singapore,1.14,3.5134
Slovenia,1.61,3.6524
Solomon Islands,4.4030000000000005,78.4116
South Africa,2.405,67.8488
South Sudan,4.696000000000001,59.4332
Spain,1.26,7.4904
Sri Lanka,2.199,20.6904
Sudan,4.407,60.79600000000001
Suriname,2.418,60.6396
Sweden,1.76,5.1226
Switzerland,1.52,2.6438
Syrian Arab Republic,2.8080000000000003,37.9512
Tajikistan,3.585,57.4706
Thailand,1.525,44.6888
Timor-Leste,4.023,32.364000000000004
Togo,4.32,88.6878
Tonga,3.556,14.3302
Trinidad and Tobago,1.725,29.3338
Tunisia,2.197,7.85
Turkey,2.069,25.5558
Turkmenistan,2.786,24.2324
Uganda,4.955,116.0714
Ukraine,1.301,23.0026
United Arab Emirates,1.413,5.8868
United Kingdom,1.68,12.640999999999998
United States,1.7295,18.5562
Uruguay,1.973,58.2386
Uzbekistan,2.6039999999999996,24.2094
Vanuatu,3.782,48.9082
Zambia,4.633,118.3048
Zimbabwe,3.615,83.2486
